Round#,Match#,Game#,Server,Receiver,First Serves,First Serve Wins,First Serve Loss,First Service Fault,Second Serves,Second Serve Wins,Second Serve Loss,Double Faults,Aces,Total Points Won,Total Points Lost
5,91,2,Sumit Raychaudhuri,Akhilesh Verma,5,1,1,3,3,0,3,0,0,1,4
5,91,3,Akhilesh Verma,Sumit Raychaudhuri,8,1,0,7,7,2,5,0,0,3,5
5,91,4,Sumit Raychaudhuri,Akhilesh Verma,6,1,1,4,4,3,1,0,0,4,2
5,91,5,Akhilesh Verma,Sumit Raychaudhuri,10,2,1,7,7,2,5,0,1,4,6
5,91,6,Sumit Raychaudhuri,Akhilesh Verma,4,2,0,2,2,2,0,0,0,4,0
5,91,7,Akhilesh Verma,Sumit Raychaudhuri,6,0,1,5,5,4,1,0,0,4,2
5,91,8,Sumit Raychaudhuri,Akhilesh Verma,6,3,1,2,2,1,1,0,0,4,2
5,98,1,Sanjib Mahanta,Kamal Agarwal,6,4,1,1,1,0,1,0,0,4,2
5,98,2,Kamal Agarwal,Sanjib Mahanta,5,3,0,2,2,1,1,0,0,4,1
5,98,3,Sanjib Mahanta,Kamal Agarwal,4,4,0,0,0,0,0,0,0,4,0
5,98,4,Kamal Agarwal,Sanjib Mahanta,8,0,2,6,6,5,1,0,0,5,3
5,98,5,Sanjib Mahanta,Kamal Agarwal,10,3,2,5,5,1,4,0,0,4,6
5,98,6,Kamal Agarwal,Sanjib Mahanta,6,1,0,5,5,3,2,0,0,4,2
5,98,7,Sanjib Mahanta,Kamal Agarwal,8,0,2,6,6,3,3,0,0,3,5
5,98,8,Kamal Agarwal,Sanjib Mahanta,5,2,0,3,3,2,1,0,0,4,1
5,90,1,Shubham Hazra,Dipanjan Mitra,5,1,3,1,1,0,1,0,0,1,4
5,90,2,Dipanjan Mitra,Shubham Hazra,4,3,0,1,1,1,0,0,0,4,0
5,90,3,Shubham Hazra,Dipanjan Mitra,6,0,2,4,4,2,2,0,0,2,4
5,90,4,Dipanjan Mitra,Shubham Hazra,4,2,0,2,2,2,0,0,0,4,0
5,90,5,Shubham Hazra,Dipanjan Mitra,8,5,2,1,1,0,1,1,0,5,3
5,90,6,Dipanjan Mitra,Shubham Hazra,4,1,0,3,3,3,0,0,1,4,0
5,90,7,Shubham Hazra,Dipanjan Mitra,10,5,2,3,3,1,2,1,0,6,4
5,90,8,Dipanjan Mitra,Shubham Hazra,8,3,0,5,5,2,3,1,0,5,3
5,108,1,Kartavya,Sandip Kundu,12,2,3,7,7,3,4,0,0,5,7
5,108,2,Sandip Kundu,Kartavya,6,3,1,2,2,1,1,0,0,4,2
5,108,3,Kartavya,Sandip Kundu,4,4,0,0,0,0,0,0,0,4,0
5,108,4,Sandip Kundu,Kartavya,6,2,2,2,2,2,0,0,0,4,2
5,108,5,Kartavya,Sandip Kundu,5,2,0,3,3,2,1,0,0,4,1
5,108,6,Sandip Kundu,Kartavya,5,1,2,2,2,0,2,0,0,1,4
5,108,7,Kartavya,Sandip Kundu,5,4,1,0,0,0,0,0,0,4,1
5,108,8,Sandip Kundu,Kartavya,6,2,2,2,2,2,0,0,0,4,2
5,108,9,Kartavya,Sandip Kundu,5,4,1,0,0,0,0,0,0,4,1
5,108,10,Sandip Kundu,Kartavya,6,2,1,3,3,2,1,1,0,4,2
5,108,11,Kartavya,Sandip Kundu,4,4,0,0,0,0,0,0,0,4,0
5,108,12,Sandip Kundu,Kartavya,6,2,3,1,1,0,1,1,0,2,4
5,109,1,Saikat Maity,Avijit Paul,10,3,2,5,5,3,2,2,0,6,4
5,109,2,Avijit Paul,Saikat Maity,5,0,1,4,4,4,0,0,0,4,1
5,109,3,Saikat Maity,Avijit Paul,4,1,0,3,3,3,0,0,0,4,0
5,109,4,Avijit Paul,Saikat Maity,6,2,3,1,1,0,1,0,0,2,4
5,109,5,Saikat Maity,Avijit Paul,5,1,1,3,3,0,3,1,0,1,4
5,109,6,Avijit Paul,Saikat Maity,8,1,0,7,7,4,3,0,1,5,3
5,109,7,Saikat Maity,Avijit Paul,5,2,1,2,2,2,0,0,0,4,1
5,109,8,Avijit Paul,Saikat Maity,14,4,2,8,8,4,4,1,0,8,6
5,109,9,Saikat Maity,Avijit Paul,6,1,2,3,3,1,2,2,0,2,4
5,109,10,Avijit Paul,Saikat Maity,6,1,1,4,4,3,1,0,1,4,2
4,87,1,Kartavya,Avijit Paul,4,2,0,2,2,2,0,0,0,4,0
4,87,2,Avijit Paul,Kartavya,5,1,3,1,1,0,1,1,0,1,4
4,87,3,Kartavya,Avijit Paul,10,4,3,3,3,0,3,1,0,4,6
4,87,4,Avijit Paul,Kartavya,8,4,3,1,1,1,0,0,0,5,3
4,87,5,Kartavya,Avijit Paul,4,4,0,0,0,0,0,0,0,4,0
4,87,6,Avijit Paul,Kartavya,8,1,1,6,6,2,4,0,0,3,5
4,87,7,Kartavya,Avijit Paul,6,3,1,2,2,1,1,0,0,4,2
4,87,8,Avijit Paul,Kartavya,6,0,1,5,5,2,3,1,0,2,4

